date name_first_line
2016-12-07T16:39:47Z "BrokerRunning Sonar Fixes"
2016-12-05T15:01:27Z "Fix Another Test Race Condition"
2016-12-03T20:30:58Z "Fix Sonar Detected Bad instanceof Check"
2016-12-03T17:19:52Z "Fix testHardErrorAndReconnectAuto Test"
2016-12-03T16:14:24Z "Test Diagnostics"
2016-12-02T20:05:09Z "AMQP-678: Move BrokerRunning @Rule to junit Jar"
2016-12-01T20:37:39Z "AMQP-680: Avoid allocations from Method.getParameterTypes() in MessagingMessageListenerAdapter"
2016-11-30T15:49:36Z "[artifactory-release] Next development version"
2016-11-30T15:49:33Z "[artifactory-release] Release version 2.0.0.M1"
2016-11-30T15:13:41Z "Upgrade to amqp-client 4.0.0 GA"
2016-11-30T14:48:56Z "DMLC - Doc Polishing"
2016-11-29T21:51:49Z "Allow RabbitTemplate Subclasses to Access Replies"
2016-11-29T17:18:19Z "AMQP-676: @RabbitListener Improvements"
2016-11-28T15:00:58Z "AMQP-677: RabbitConnectionFactory and 4.0 client"
2016-11-27T22:10:19Z "Additional Fix for Previous Commit"
2016-11-26T21:20:54Z "Fix Test Race Condition"
2016-11-23T17:54:56Z "Checkstyle Polishing"
2016-11-23T17:39:24Z "Add Test Diagnostics; Log Adjuster Improvements"
2016-11-19T15:05:06Z "Fix Tests"
2016-11-18T14:24:18Z "Sonar Fixes"
2016-11-17T19:45:17Z "AMQP-673: 4.0.0.RC2 Client and auto-recovery"
2016-11-16T22:53:36Z "AMQP-672: SMLC: Support Start with No Queues"
2016-11-16T21:42:15Z "AMQP-674: Resolve deprecation in `AmqpAppender`"
2016-11-16T15:26:35Z "chore: primitive long in ActiveObjectCounter.await()"
2016-11-13T14:53:13Z "Upgrade to Log4J 2.7 and fix compatibility"
2016-11-07T21:10:46Z "Upgrade to Hop-1.1.0"
2016-11-07T13:55:15Z "AMQP-668: Increase Test Latch Timeout"
2016-11-02T13:18:32Z "Reduce Method Complexity After Lambda Conversion"
2016-11-01T21:10:37Z "BindingBuilder Private ctors Incomplete Fix"
2016-11-01T20:32:49Z "Avoid Synthetic ctors"
2016-11-01T14:51:15Z "AMQP-667: Support 'delayed' on `@Exchange`"
2016-10-31T16:53:00Z "Fix Race in Test"
2016-10-28T15:40:42Z "Add `this.template.setReceiveTimeout(20000);`"
2016-10-28T15:27:15Z "RabbitTemplateIntegrationTests polishing"
2016-10-28T14:59:19Z "Bump Mockito Version and Polish Tests"
2016-10-28T14:57:32Z "AMQP-660: MessageConversionException for CNFE"
2016-10-26T13:51:07Z "AMQP-665: DMLC: Shut Down Scheduler"
2016-10-24T14:15:52Z "Fix New Sonar Issues"
2016-10-22T16:25:24Z "Add Test Diagnostics"
2016-10-21T19:26:03Z "RabbitManagementTemplate for CloudFoundry"
2016-10-21T18:48:30Z "AMQP-655: RabbitTemplate and DirectReply Container"
2016-10-21T14:36:14Z "Fix javadoc formatting in class EnableRabbit"
2016-10-20T14:08:36Z "AMQP-663: Fix Race in Container Test"
2016-10-19T14:29:08Z "AMQP-661: NPE with null Queue Names in Container"
2016-10-18T16:03:00Z "Update to amqp-client Version 4.0.0.M2"
2016-10-17T19:13:16Z "AMQP-659: @RabbitListener Annotation Improvements"
2016-10-17T16:55:53Z "AMQP-657: Fix `receivedUserId` header mapping"
2016-10-17T15:12:31Z "AMQP-656: Support Empty Strings in Arguments"
2016-10-14T17:41:18Z "AMQP-616: Direct ReplyTo Container Race Condition"
2016-10-13T18:40:04Z "AMQP-655: Phase I - RabbitTemplate Lambda Refactor"
2016-10-12T20:35:10Z "AMQP-529: Remove pre-2.0 Deprecations"
2016-10-12T20:02:10Z "AMQP-196: Use RabbitOperations in Gateway Support"
2016-10-12T19:25:04Z "AMQP-616: Support Direct ReplyTo in Async Template"
2016-10-10T20:50:03Z "AMQP-652: Use Base64 By Default for Anon. Queues"
2016-10-10T20:35:23Z "AMQP-654: DMLC: Recover from Broker Interruption"
2016-10-10T19:09:40Z "AMQP-653: Messaging Template Converter User"
2016-10-07T14:28:31Z "AMQP-650: AsyncRabbitTemplate Refactoring"
2016-10-06T22:38:33Z "AMQP-631: Fix mocks test for new method in charge"
2016-10-06T21:31:09Z "AMQP-651: amqp-client Version Minimum 3.6.5"
2016-10-06T21:09:16Z "AMQP-631: Add `ConnectionNameStrategy` for `CF`"
2016-10-06T15:55:37Z "Fix Delay Property Setter Name"
2016-10-05T18:58:19Z "AMQP-640: DirectMLContainer - Docs and XML Parser"
2016-10-05T18:42:21Z "AMQP-649: RabbitConnectionFactoryBean Improvements"
2016-10-04T21:10:03Z "AMQP-647: Eliminate MissingMessageidAdvice"
2016-09-29T20:08:09Z "DMLC: Fix Race in Consumer Cancel"
2016-09-29T15:39:55Z "AMQP-645: Remove byte[] Correlation Id"
2016-09-28T13:56:57Z "AMQP-648: Fix Race in handleCancel (SMLC)"
2016-09-24T14:18:31Z "Fix Bamboo Badge"
2016-09-23T16:08:17Z "Fix JavaDocs and add missed property"
2016-09-23T15:57:32Z "AMQP-639: Add DirectRabbitListenerContainerFactory"
2016-09-22T21:55:11Z "AMQP-636: Queue Declaration and Recovery"
2016-09-22T13:23:45Z "Fix Race in DMLC Test"
2016-09-20T19:49:42Z "DMLC - More Diagnostics"
2016-09-14T22:32:03Z "AMQP-646: Connection/Channel Listener Improvements"
2016-09-14T22:12:55Z "AMQP-642: DirecMLContainer Transaction Support"
2016-09-12T18:46:28Z "AMQP-641: DirectMLContainer Add ErrorHandler"
2016-09-09T21:37:19Z "AMQP-637 Polishing and Diagnostics"
2016-09-09T21:15:06Z "AMQP-632: Add RabbitTemplate.getUnconfirmedCount"
2016-09-09T19:18:16Z "AMQP-638 DirectMessageListenerContainer Events"
2016-09-09T17:33:27Z "DMLC Test Diagnostics"
2016-09-09T15:19:15Z "AbstractConnectionFactory: remove obsolete remark in javadoc"
2016-09-09T15:12:26Z "AMQP-637: Fix Shutdown"
2016-09-09T12:22:56Z "AMQP-637: DirectMLContainer - Add/Remove Queues"
2016-09-06T22:14:03Z "AMQP-634: DirectMessageListenerContainer"
2016-09-02T21:56:03Z "Clean Broker After Running Tests"
2016-09-02T14:42:56Z "AMQP-644: Non-Fatal Exception Stopped Container"
2016-09-01T21:00:44Z "AMQP-643: Doc Polishing"
2016-09-01T14:34:17Z "AMQP-643: Java 8 and Lambdas"
2016-08-30T14:04:13Z "AMQP-633: Fix What's New"
2016-08-20T15:06:11Z "AMQP-633: Ensure Resources are Closed"
2016-08-19T19:07:20Z "AMQP-633: Fix Non-Transactional Template Issue"
2016-08-15T16:03:57Z "AMQP-624: Add SSL Support to Logging Appenders"
2016-08-11T14:20:46Z "AMQP-630: Migrate to Log4J2, Part II"
2016-08-10T14:01:41Z "Update Eclipse Code Formatter File"
2016-07-28T21:52:31Z "AMQP-630: Move dependency from Log4j to Log4j2"
2016-07-28T19:53:46Z "AMQP-628: Master to 2.0, SF 5.0"
2016-07-27T19:13:36Z "AMQP-626: Add keystore\truststore type setters"
2016-07-26T13:01:11Z "AMQP-625: CCF: Fix onClose Notification"
2016-07-18T17:34:10Z "[artifactory-release] Next development version"
2016-07-18T17:34:07Z "[artifactory-release] Release version 1.6.1.RELEASE"
2016-07-18T17:16:27Z "Upgrade `spring-io-plugin` to 0.0.5"
2016-07-18T15:49:24Z "Some dependencies minor upgrades"
2016-07-17T10:16:17Z "AMQP-623: Don't eat errors in AbstractAdaptableML"
2016-07-17T10:12:54Z "AMQP-618: Add `contentType` note into JSON Docs"
2016-07-17T09:31:52Z "More Sonar"
2016-07-17T08:34:07Z "More Sonar"
2016-07-16T07:49:14Z "AMQP-621: Sonar Fix"
2016-07-15T16:15:24Z "AMQP-621: Fix Consumer.basicCancel Race Condition"
2016-07-11T10:27:06Z "AMQP-619: Populate Bean CL Into JSON Converters"
2016-07-10T09:50:24Z "Fix CLA"
2016-07-10T09:47:47Z "CLA Hook"
2016-07-08T23:26:23Z "Fix some typos and tabs in Docs"
2016-07-06T17:54:57Z "More properties for MessageProperties.toString()"
2016-06-07T03:59:19Z "Fix Travis Badge"
2016-06-06T23:52:23Z "Add gitter Badge"
2016-05-31T17:44:46Z "[artifactory-release] Next development version"
2016-05-31T17:44:44Z "[artifactory-release] Release version 1.6.0.RELEASE"
2016-05-31T15:51:51Z "Fix JavaDocs for code vulnerability"
2016-05-31T15:47:14Z "AMQP-614: Polishing and Add Builder for Exchange"
2016-05-31T14:39:08Z "AMQP-614: Implement Builder for `Queue` Objects"
2016-05-26T01:24:42Z "AMQP-612: RabbitTemplate UserId Expression"
2016-05-23T13:59:53Z "RabbitTemplateIntegrationTests: fix timing issue"
2016-05-19T13:34:26Z "AMQP-611: Upgrade to Log4J2-2.5"
2016-05-17T20:57:34Z "Fix wrong format in JavaDocs #2"
2016-05-17T20:48:26Z "Fix wrong format in JavaDocs"
2016-05-17T20:36:25Z "GH-420: AcknowledgeMode JavaDocs"
2016-05-11T18:10:09Z "Doc Improvement"
2016-05-07T13:58:26Z "Sonar Fix"
2016-05-06T17:55:19Z "[artifactory-release] Next development version"
2016-05-06T17:55:16Z "[artifactory-release] Release version 1.6.0.RC1"
2016-05-06T14:41:52Z "AMQP-609: Add 'internal' to @Exhange"
2016-05-05T18:59:51Z "AMQP-607: Don't Adjust Channel Cache Size"
