date,summary
2015-01-23T20:18:40Z,RedisCache zset leak
2014-11-24T08:34:01Z,Scripts don't try EVAL after EVALSHA fails
2014-11-12T12:34:17Z,Jackson2JsonRedisSerializer should allow to customise the JavaType for deserialization via getJavaType()
2014-09-18T08:40:37Z,RedisCacheManager doesn't allow to fallback to NoOpCache if connection to Redis is broken
2014-09-11T06:31:27Z,DefaultScriptExecutor always runs script twice if Exception is thrown
2014-09-03T07:29:29Z,JedisPool doesn't recover i redis-server is restarted while the application is running
2014-08-09T12:51:38Z,MessageListener method should only be invoked once per message
2014-07-29T13:29:46Z,EvalSha returns incorrect result
2014-07-29T02:33:33Z,@Transactional Using multiple connections
2014-07-22T18:30:57Z,RedisCacheManager should not instantiate caches in setCacheNames()
2014-07-17T02:18:06Z,SrpConverters wraps unknown exceptions in RedisSystemException instead of returning null
2014-07-15T04:22:18Z,RedisConnectionFactory translates exceptions too aggressively
2014-06-17T09:16:24Z,Cannot increment RedisAtomicInteger
2014-05-28T01:21:27Z,Lock of RedisCache is not safe
2014-05-20T01:24:07Z,DecoratingStringHashMapper breaks RetwisJ sample
2014-05-15T06:15:57Z,RedisConnectionUtils: inconsistency with connection open() and close()
2014-04-30T08:53:31Z,Unneeded jcl-over-slf4j dependency
2014-04-22T15:10:14Z,Converting all exceptions to Jedis Exception 
2014-04-21T20:09:31Z,ZSetOperations.TypedTuple will throw ClassCastException during sorting
2014-03-25T01:57:13Z,Avoid NPE in append() in case of pipelining or/and multi/exec calls.
2014-03-20T16:59:34Z,RedisTemplate.expire() overflow
2014-03-17T23:26:09Z,LettuceTemplate.execute should read and convert entire response.
2014-03-12T04:57:56Z,RedisCacheManager.loadCaches overrides already defined cache names in afterPropertiesSet().
2014-01-23T00:21:41Z,Shutdown the client when DefaultLettucePool is destroyed
2014-01-13T10:59:14Z,Fix generics in DecoratingStringHashMapper to be Java 8 compatible
2013-12-19T18:36:43Z,RedisCacheManager‘s getCache method does not match the logical of CompositeCacheManager
2013-11-26T05:40:59Z,Prevent excessive Thread creation in unit tests
2013-08-16T15:09:57Z,SrpConnection does not throw wrapped Exception on connection failure
2013-08-15T11:16:24Z,MessageListenerAdapter extractMessage does not return message body when serializer is null
2013-08-04T14:54:05Z,Lettuce eval and evalsha suppress Exceptions with ReturnType Multi
2013-07-29T17:39:06Z,Fix NPE in SRP sort when alpha is not set
2013-07-24T16:04:54Z,NPE calling DefaultZSetOperations methods that return Tuple set in tx or pipeline
2013-07-23T14:46:48Z,Individual syntax errors on Lettuce transactions are not reported
2013-07-22T12:12:28Z,Lettuce should not allow calling watch() inside a transaction
2013-07-18T15:09:24Z,Lettuce setBit and setRange execute twice in pipeline
2013-07-18T09:54:27Z,Lettuce and SRP closePipeline should return List of tx results and strip individual op results
2013-07-16T12:12:09Z,StringRedisConnection not passed to RedisCallbacks executed through StringRedisTemplate
2013-07-15T18:00:56Z,Closing a pooled RJC connection does not reset selected database to 0
2013-07-15T17:34:25Z,Exception calling SRP select in a transaction
2013-07-15T17:09:26Z,RJC isQueueing() always returns false
2013-07-15T14:13:53Z,NPEs on Jedis exec/closePipeline that includes move
2013-07-15T13:18:39Z,SRP and Lettuce NullPointerExceptions calling sort with null sortParams
2013-07-11T16:21:38Z,DefaultStringRedisConnection not passing begin/end to bitCount method
2013-07-11T10:25:39Z,RedisCache throws IlegalMonitorStateException when get/put performed while clearing
2013-07-11T07:18:14Z,jedis connection pool can not release connection
2013-05-28T13:23:06Z,Lettuce exec without multi times out waiting for a reply instead of throwing Exception
2013-05-28T13:11:12Z,Infinite loop renaming a non-existent Collection when using Lettuce
2013-05-16T06:36:15Z,multiSetIfAbsent should return code
2013-05-13T00:58:50Z,"rightPop(100, MILLISECONDS) translates to ""BRPOP key, 0"""
2013-05-06T09:46:19Z,Make JacksonJsonRedisSerializer NOT depend on a specific domain object class
2013-04-12T19:46:01Z,SRP ClassCastException when exec() returns an ErrorReply in Redis 2.6
2013-04-12T19:37:39Z,JRedis StringIndexOutOfBoundsException in info() method in Redis 2.6
2013-04-12T15:21:37Z,Canceling RMLC SubscriptionTask immediately after start can leave connection open
2013-04-11T15:00:02Z,"SRP discard does not clear txReplies, results in inconsistent results on next tx exec"
2013-04-11T14:52:09Z,SRP exec throws TransactionFailedException instead of returning null if watched value modified
2013-04-09T16:55:40Z,zRevRangeByScore methods fail due to incorrect parameter ordering
2013-04-08T13:41:32Z,Intermittent corrupted input/output streams subscribing to both patterns and channels in RMLC
2013-04-04T10:52:41Z,Messages not received after adding a message listener to both channel and pattern before container start
2013-04-02T16:39:31Z,NPEs or incorrect results in several ops within a Lettuce transaction
2013-04-02T15:40:25Z,RJC continues to use pipeline after closed
2013-04-02T15:40:01Z,Jedis continues to use pipeline after closed
2013-04-02T15:38:03Z,Syntax error in pipelined RJC op causes SocketTimeouts on subsequent calls
2013-04-01T16:23:01Z,Jedis persist does not execute as part of a transaction
2013-04-01T16:20:21Z,Jedis brPop executes twice in a transaction
2013-04-01T13:54:24Z,JedisConnection execute does not return correct results
2013-03-31T11:03:37Z,SRP continues to use pipeline after closed
2013-03-30T20:44:56Z,SRP bRPopLPush ClassCastException
2013-03-30T11:20:07Z,Jredis closes connections on Exception but doesn't remove them from the pool or reconnect them
2013-03-30T11:16:09Z,NPE on JedisConnection ops leaves connections in pool with OutputStreams containing incomplete data
2013-03-30T10:43:16Z,Syntax error on SRP zRangeByScore/zRevRangeByScore methods when using offset and count
2013-03-30T10:15:55Z,Sharing RjcConnectionFactory between runs of RjcConnIntTest and RjcConnPipeIntTest results in SocketTimeout
2013-03-30T10:00:50Z,RJC base64 decoding of results in closePipeline() is incorrect for Redis ops like ping and info
2013-03-30T09:52:45Z,Wrong number of args on RJC brPop and blPop when pipelining
2013-03-30T09:40:19Z,Syntax error on RJC zUnionStore
2013-03-29T20:14:42Z,Connection methods should not wrap UnsupportedOperationException in RedisSystemException
2013-03-29T13:48:00Z,Lettuce closePipeline hangs with discarded transaction
2013-03-29T13:00:09Z,Jedis ClassCastExceptions closing a pipeline after tx exec
2013-03-29T10:12:34Z,SRP zCount/zInterStore methods execute synchronously when pipelining
2013-03-29T10:08:16Z,Jedis dbSize/flush ops execute synchronously while pipelining
2013-03-29T09:46:22Z,Lettuce zCount/zInterStore methods execute synchronously when pipelining
2013-03-29T09:42:30Z,Lettuce exec while pipelining returns a non-null value
2013-03-29T09:36:22Z,NPE in DefaultStringRedisConnection deserializing a null Map
2013-03-29T09:27:09Z,RJC zRevRangeWithScores returns incorrect results
