date,name_first_line
2016-07-26T13:48:15Z,DATAREDIS-506 - Reformat test and add ticket references.
2016-07-26T13:48:03Z,DATAREDIS-506 - Upgrade to Jedis 2.9.0.
2016-07-26T13:22:40Z,DATAREDIS-540 - Assert compatibility with Spring 5.
2016-07-25T12:46:51Z,DATAREDIS-537 - Polishing.
2016-07-25T12:13:25Z,DATAREDIS-537 - Add support for Redis Cluster and SSL.
2016-07-20T06:55:36Z,DATAREDIS-536 - Integrate version badge from spring.io.
2016-07-13T06:51:48Z,DATAREDIS-523 - Polishing.
2016-07-13T06:51:16Z,DATAREDIS-523 - Read back TTL into property.
2016-07-08T06:50:56Z,DATAREDIS-526 - Allow using ttl and pttl with TimeUnit on connection-level.
2016-07-08T06:50:53Z,DATAREDIS-526 - Polishing.
2016-07-08T06:50:30Z,DATAREDIS-526 - Fix getExpire return value.
2016-07-06T12:34:29Z,DATAREDIS-530 - Fix PartialUpdate removing existing indexes.
2016-07-06T12:16:18Z,DATAREDIS-524 - Polishing.
2016-07-06T12:16:08Z,DATAREDIS-524 - Use password to connect Redis nodes using Sentinel.
2016-06-17T11:07:31Z,DATAREDIS-505 - Polishing.
2016-06-17T11:07:20Z,DATAREDIS-505 - Allow configuration of Redis Keyspace events config value.
2016-06-17T07:35:57Z,DATAREDIS-500 - Polishing.
2016-06-17T07:35:57Z,DATAREDIS-500 - Use Hash Key and Hash Value serializers in RedisTemplate executePipelined(…).
2016-06-15T12:31:49Z,DATAREDIS-488 - Updated changelog.
2016-06-14T14:56:47Z,DATAREDIS-510 - Fix caching of null values.
2016-06-07T06:29:00Z,DATAREDIS-516 - Update required Spring framework version in reference documentation.
2016-06-02T07:33:19Z,DATAREDIS-513 - Fix RedisServerCommands.time() failure when in pipeline mode.
2016-05-27T07:36:38Z,DATAREDIS-514 - Unify geoRadius capitalization.
2016-05-25T14:36:46Z,DATAREDIS-471 - Polishing.
2016-05-25T14:36:46Z,DATAREDIS-471 - Add support for partial updates.
2016-05-25T14:36:35Z,DATAREDIS-491 - Polishing.
2016-05-25T13:25:05Z,DATAREDIS-491 - Add configuration option to tune KeyspaceEventMessageListener usage.
2016-05-24T07:33:55Z,DATAREDIS-512 - Skip repository index update checks on insert.
2016-05-23T05:07:50Z,DATAREDIS-438 - Polishing.
2016-05-18T14:04:45Z,DATAREDIS-438 - Add support for geo commands.
2016-05-13T12:35:27Z,DATAREDIS-469 - Polishing.
2016-05-13T12:34:55Z,DATAREDIS-469 - Throw DataRetrievalFailureException for atomic numbers when key is removed.
2016-05-13T10:50:49Z,DATAREDIS-423 - Polishing.
2016-05-13T10:49:46Z,DATAREDIS-423 - Add support for Jackson2 based HashMapper.
2016-05-09T13:13:32Z,DATAREDIS-509 - Polishing.
2016-05-09T12:59:39Z,DATAREDIS-509 - Fix handling of primitive arrays in MappingRedisConverter.
2016-05-04T06:37:16Z,DATAREDIS-507 - Polishing.
2016-05-04T06:36:31Z,DATAREDIS-507 - Do not destroy RedisConnectionFactory in RedisKeyValueAdapter.destroy.
2016-05-02T07:07:10Z,DATAREDIS-503 - Polishing.
2016-05-02T07:06:28Z,DATAREDIS-503 - Add HashMapper implementation based on MappingRedisConverter.
2016-04-26T13:12:11Z,DATAREDIS-501 - Use application context ClassLoader as default for JdkSerializationRedisSerializer in RedisTemplate.
2016-04-15T09:09:36Z,DATAREDIS-489 - Add type hints for Object types.
2016-04-15T09:09:13Z,DATAREDIS-492 - Polishing.
2016-04-15T09:09:13Z,DATAREDIS-492 - Handle serializing arrays and collections.
2016-04-15T09:08:33Z,DATAREDIS-498 - Favor Collections.sort over List.sort which requires Java 8.
2016-04-06T21:14:27Z,DATAREDIS-486 - Updated changelog.
2016-04-06T14:37:03Z,DATAREDIS-484 - After release cleanups.
2016-04-06T14:37:00Z,DATAREDIS-484 - Prepare next development iteration.
