date,summary
2017-02-08T13:27:05Z,"MockHttpServletRequest.protocol default should be ""HTTP/1.1"", not ""http"""
2017-02-08T00:24:22Z,DispatcherServlet's multipart request parsing fails during Jetty error dispatch
2017-02-05T18:05:38Z,ClassNotFoundException occurs when run my SpringCore program
2017-02-04T20:28:01Z,Bean dependencies resolved with custom ObjectFactory are null in autowired constructors
2017-02-03T12:30:47Z,Memory leak in AbstractAutoProxyCreator for custom initializeBean calls
2017-02-02T09:30:34Z,SettableListenableFuture may be successfully set with failureCallback executed and success callback ignored
2017-02-01T22:24:10Z,MockHttpServletRequest.getReader() returns null in case of no content
2017-02-01T16:09:59Z,Principal check in ServletRequestMethodArgumentResolver can result in type mismatches
2017-01-31T15:34:43Z,HTTP Response should not contain both Transfer-Encoding and Content-Length headers
2017-01-29T16:04:04Z,SettableListenableFuture may be both set and canceled successfully
2017-01-28T12:38:05Z,RestTemplate drops trailing / from request URI
2017-01-27T10:52:16Z,AntPathMatcher does not match more specific path when there is an static path fragment given
2017-01-26T21:11:15Z,Spring does not clean up db connection registered in afterCompletion callback
2017-01-26T19:51:08Z,SpelCompiler VerifyError - Incompatible argument to function
2017-01-25T14:55:16Z,If backing Cache is down @CacheResult does not seamlessly call method (in contrast to @Cacheable)
2017-01-24T23:57:48Z,InvocableHandlerMethod should call GenericTypeResolver with getBeanType() and only once
2017-01-24T18:40:10Z,More specific RequestMapping is suddenly ignored when adding produces attribute
2017-01-24T17:16:25Z,@Primary annotation on ProxyFactoryBean
2017-01-23T13:53:06Z,HiddenHttpMethodFilter may disturb error rendering when handling malformed multipart request
2017-01-20T13:01:05Z,ProxyTransactionManagementConfiguration enableTx NPE
2017-01-19T13:54:32Z,InterceptingClientHttpRequest replaces headers set in request factory instead of merging them
2017-01-19T08:00:45Z,Spring loaded runtime exception
2017-01-18T13:35:34Z,"Reactive web client Exception, with reactor-netty"
2017-01-18T12:37:08Z,Collection autowiring does not resolve field-level type variable against containing class
2017-01-17T22:50:38Z,Different behavior for @ResponseBody annotation between 4.2.5 and 4.3.5
2017-01-17T21:38:12Z,"XmlExpectationsHelper.assertXmlEqual missing ""regardless of order"" case"
2017-01-17T08:29:29Z,ShallowEtagHeaderFilter won't set ETag for DeferredResult in Undertow 
2017-01-17T02:39:08Z,HeaderMethodArgumentResolver doesn't resolve Optional.empty() for non-existing header
2017-01-16T21:18:09Z,@EventListener not working on @Service class
2017-01-16T13:28:02Z,SimpleApplicationEventMulticaster should not rely on ClassCastException having a message
2017-01-14T18:33:46Z,@RequestParam injects a raw undecoded string for reactive HTTP requests
2017-01-12T14:10:16Z,Reactive RedirectView throws exception if no RequestDataValueProcessor is present
2017-01-11T17:25:00Z,Cache Control set at resource handler being trumped by spring security on 304 response
2017-01-10T18:42:13Z,Modification in AbstractAutowireCapableBeanFactory to prevent stackoverflow errors causes context not to load.
2017-01-10T13:53:27Z,Incorrect resolution of ResolvableAttributes when MessageSourceSupport#alwaysUseMessageFormat is true
2017-01-09T16:54:01Z,Can't autowire BiMap: container resolves non-matching Map of value beans
2017-01-09T12:58:04Z,Non-JSON response 
2017-01-09T10:49:46Z,Fix error handling in Jackson2JsonDecoder
2017-01-08T08:32:07Z,Internal spring boot bug if wildfly libs is used
2017-01-07T10:15:57Z,Spring Web Reactive + Netty hangs on Windows when sending JSON
2017-01-06T16:15:43Z,Discovery of websocket RequestUpgradeStrategy fails
2017-01-05T15:33:53Z,Silent Fail When Using Incorrect Username In Bootstrap.yml Config
2017-01-04T15:51:27Z,Spring Security SAML has a logout based race condition
2017-01-04T09:30:31Z,Wrong path to RequestUpgradeStrategies in HandshakeWebSocketService
2017-01-03T14:39:08Z,DefaultRedirectStrategy.sendRedirect with relative URL and ForwardedHeaderFilter add contextpath to URL twice
2017-01-03T14:26:01Z,HttpHeaders.keySet() is no longer case-insensitive
2017-01-03T14:11:39Z,SseEmitter - Response already closed
2017-01-03T13:45:18Z,Cannot configure Jackson used in ReactiveWeb
2017-01-03T09:56:35Z,ServerHttpRequest getURI doesn't return the port the application is running on
2017-01-02T11:54:28Z,Spring validation crashes with Hibernate Validation 5 style list constraint violations
2017-01-01T09:40:52Z,WebClient mixes up state from separate requests 
2017-01-01T04:19:26Z,No way to convert ClientResponse to a Mono<Collection<Thing>>
2017-01-01T04:06:04Z,Redirect from controller can't resolve view
2016-12-30T09:18:17Z,"url path variable works incorrectly for string starting/ending with ""."""
2016-12-29T23:23:21Z,Session attributes not saved when ModelAndView returned for redirect
2016-12-29T13:48:10Z,Error in RestTemplate when setting the same HTTP header through ClientHttpRequestInterceptor and HttpEntity
2016-12-27T15:38:11Z,Annotated method argument matching performance issue
2016-12-26T20:01:42Z,AutoProxyRegistrar throws NullPointer on @kotlin.Metadata Annotation
2016-12-24T08:50:47Z,Spring MVC 4.3.5's Jackson auto-configuration breaks against Jackson 2.3.3 on the classpath
